itr,err,ans
10,7.793611511978846e-15,-6.976605858185148e-12
20,7.636814561210548e-15,-4.317092940477293e-12
30,7.741530891407496e-15,-6.6921057041637014e-12
40,7.770997243991425e-15,-4.095723163799858e-12
50,7.677786112224605e-15,-4.551800026131205e-12
60,7.644063851188099e-15,-4.314990671301172e-12
70,7.640884999784853e-15,-4.519222455286394e-12
80,7.732173572170037e-15,-5.882608821793634e-12
90,7.740653340735847e-15,-4.9835499775142414e-12
100,7.62304637783889e-15,-3.291940054986041e-12
110,7.656257906522804e-15,-2.8368671170223925e-12
120,7.704188658771978e-15,-5.487668557021291e-12
130,7.558898284240012e-15,-7.64792183828569e-12
140,7.651738337873182e-15,-4.143832620272104e-12
150,7.644301124316206e-15,-4.5676386770082755e-12
160,7.637767870937442e-15,-5.9427963512533786e-12
170,7.651783558623902e-15,-6.1146755050471384e-12
180,7.597301880044927e-15,-2.2787325317107925e-12
190,7.899571484379957e-15,-4.261884875184423e-12
200,7.622721716289453e-15,-3.6355840608444623e-12
210,7.640841014895555e-15,-2.104029834622224e-12
220,7.621655883348793e-15,-7.521541099002147e-12
230,7.620543594464916e-15,-8.504647257758863e-12
240,7.624096245348907e-15,-5.590386347935369e-12
250,7.654111021292922e-15,-3.3708017509599192e-12
260,7.742485301325904e-15,-5.864511892110491e-12
270,7.624061847727908e-15,-4.507309544992695e-12
280,7.743589460498604e-15,-6.636620507758235e-12
290,7.613236008591246e-15,-4.290227131142275e-12
300,7.739770062459049e-15,-4.508645986571174e-12
310,7.589899071482473e-15,-6.029067548217034e-12
320,7.706508700980595e-15,-4.9683323459980536e-12
330,7.66588787724354e-15,-5.03336036187285e-12
340,7.579904664038183e-15,-5.664077497681692e-12
350,7.600629047407163e-15,-3.72700769433108e-12
360,7.753977046976255e-15,-4.196377550489182e-12
370,7.659895338294882e-15,-5.715925311235987e-12
380,7.701136456448288e-15,-2.8919153649840575e-12
390,7.545803809919047e-15,-3.123652729367461e-12
400,7.574605476221071e-15,-7.930977896865224e-12
410,7.651388819485917e-15,-4.606295510259358e-12
420,7.508475967991107e-15,-1.8769739748310545e-12
430,7.65073987404133e-15,-5.014172157915184e-12
440,7.681641374463501e-15,-3.2285666295203267e-12
450,7.59571400880824e-15,-3.528736308637977e-12
460,7.54031941509737e-15,-2.74151171777555e-12
470,7.620754572809192e-15,-7.352728914570031e-12
480,7.649549303860578e-15,-4.717922695026022e-12
490,7.556066048562389e-15,-3.1838179527364614e-12
500,7.565264746819447e-15,-6.471769563165824e-12
510,7.58652612749656e-15,-1.1759500263524022e-12
520,7.578841605577363e-15,-5.993057277613441e-12
530,7.663543974443026e-15,-4.518677148311773e-12
540,7.605483826270894e-15,-5.787830384846477e-12
550,7.594506316445551e-15,-5.1999687697240734e-12
560,7.59512688600022e-15,-4.733537170117045e-12
570,7.641157517029815e-15,-7.410952090166527e-12
580,7.530750747941732e-15,-5.5995459657281576e-12
590,7.51347285663681e-15,-7.407768499304026e-12
600,7.686359534093471e-15,-2.5852728000402095e-12
610,7.499538778146397e-15,-7.303018346194044e-12
620,7.635319629954323e-15,-4.2131881552865835e-12
630,7.531766936307788e-15,-4.50030605532885e-12
640,7.564508054987618e-15,-5.980249667229929e-12
650,7.55803164549136e-15,-6.577985584171155e-12
660,7.453179009613857e-15,-6.151868659780975e-12
670,7.772779570674464e-15,-4.0436376483162135e-12
680,7.517782048654816e-15,-5.41981851435251e-12
690,7.617432990720416e-15,-3.5036660324526137e-12
700,7.51552477839238e-15,-3.5437637143696616e-12
710,7.563857446599368e-15,-6.738724673779019e-12
720,7.61639665273628e-15,-4.497272622262383e-12
730,7.627956274569972e-15,-3.696111716721203e-12
740,7.587213171083034e-15,-6.824233893670802e-12
750,7.508606966779762e-15,-4.229216765612587e-12
760,7.639054988609048e-15,-8.835727226178463e-12
770,7.487848282686913e-15,-8.167887831572564e-12
780,7.541816711927824e-15,-2.396238661251677e-12
790,7.489880582581898e-15,-6.541438003888056e-12
800,7.536198928162143e-15,-3.3503890842513205e-12
810,7.513395597631187e-15,-3.879950910394085e-12
820,7.556280572381437e-15,-5.192518910990984e-12
830,7.558223402380666e-15,-5.024121996764406e-12
840,7.469736165311384e-15,-3.156274513092903e-12
850,7.540551280781615e-15,-4.550571785838505e-12
860,7.45936534113276e-15,-3.428534889378506e-12
870,7.441613568543459e-15,-4.483962132650832e-12
880,7.60044189960657e-15,-3.831917519743848e-12
890,7.61190351955234e-15,-5.674202314041162e-12
900,7.523450930534008e-15,-6.641483512222743e-12
910,7.570344787195726e-15,-4.524275399231147e-12
920,7.588363201868354e-15,-5.579170653213611e-12
930,7.529163293107902e-15,-3.747089938472873e-12
940,7.492657094048309e-15,-4.913847905375573e-12
950,7.500138515841611e-15,-2.9754114215376657e-12
960,7.465603539284003e-15,-6.18051458921913e-12
970,7.49034910105956e-15,-4.3872604906428335e-12
980,7.447438613783948e-15,-3.939244096744389e-12
990,7.52048678731736e-15,-5.394492458308996e-12
1000,7.596919486221694e-15,-3.160855795199486e-12
1010,7.578855107265916e-15,-3.9083750194179864e-12
1020,7.45737901868705e-15,-3.005747385338368e-12
1030,7.447544014833182e-15,-6.147744595208776e-12
1040,7.455876975272885e-15,-3.3803592703997085e-12
1050,7.558877423855876e-15,-5.446818628738224e-12
1060,7.605822008347368e-15,-2.183605966563673e-12
1070,7.37420092011234e-15,-6.509332859045357e-12
1080,7.61052558367074e-15,-3.498044390737384e-12
1090,7.620634814019653e-15,-6.164639258247374e-12
1100,7.368622220295957e-15,-5.779862424636889e-12
1110,7.593058216667948e-15,-2.570864726476017e-12
1120,7.354995040358222e-15,-4.3335244631143234e-12
1130,7.477445876525774e-15,-3.908350889485448e-12
1140,7.393491189800293e-15,-5.513337015188199e-12
1150,7.520348352936638e-15,-5.289877834788009e-12
1160,7.504140139623353e-15,-5.2568066129740005e-12
1170,7.524646377297861e-15,-1.654507699364177e-12
1180,7.393457442846248e-15,-5.646353940294292e-12
1190,7.497033111094024e-15,-3.4323950003342267e-12
1200,7.498730961406002e-15,-4.2020845805786955e-12
1210,7.47534895006076e-15,-5.613603790180198e-12
1220,7.448308321694288e-15,-4.6530503050540594e-12
1230,7.500032273348713e-15,-6.9520090744413395e-12
1240,7.398793175182084e-15,-6.0921250856001255e-12
1250,7.512798230005745e-15,-4.792467187090998e-12
1260,7.495095869922135e-15,-3.583189425026561e-12
1270,7.474260088802006e-15,-2.8782465890010705e-12
1280,7.271533748517238e-15,-2.9089668294740108e-12
1290,7.548151983963246e-15,-1.9112589425433693e-12
1300,7.37676849709649e-15,-5.1881571023909425e-12
1310,7.517966470000638e-15,-5.46130154195826e-12
1320,7.377192619949827e-15,-8.943415874892602e-13
1330,7.504433201187045e-15,-1.9467414649180653e-12
1340,7.457889966660329e-15,-4.6843589522625775e-12
1350,7.50662532891129e-15,-4.9155441708664475e-12
1360,7.444529530943163e-15,-7.507043247620588e-12
1370,7.499050746854854e-15,-4.266015667974894e-12
1380,7.490385954158644e-15,-3.924731466666032e-12
1390,7.34222154280737e-15,-4.7780334267255666e-12
1400,7.477865418108623e-15,-4.06688527654738e-12
1410,7.405436421230183e-15,-7.108954217817397e-12
1420,7.37043096380685e-15,-5.815512195899457e-12
1430,7.403124006004422e-15,-6.3088754296906875e-12
1440,7.434675307157107e-15,-4.039382026829966e-12
1450,7.45166296201799e-15,-7.238102222615871e-12
1460,7.41788853703615e-15,-3.5014013081333095e-12
1470,7.524856169026638e-15,-1.6328357425596682e-12
1480,7.33816619330119e-15,-5.222496023761857e-12
1490,7.462947802273074e-15,-3.031875229370021e-12
1500,7.406564149979862e-15,-5.2697627781029624e-12
1510,7.417859948521542e-15,-6.728988875020827e-12
1520,7.549721630210028e-15,-4.577750007068304e-12
1530,7.552011994304415e-15,-3.544998635500252e-12
1540,7.6524898876869e-15,-6.9936197861556386e-12
1550,7.368059663277738e-15,-6.486516354117512e-12
1560,7.38069105652231e-15,-5.872652256497078e-12
1570,7.375198218863861e-15,-2.6383420696420174e-12
1580,7.487541736383583e-15,-5.6891549923472985e-12
1590,7.33643489737868e-15,-4.075238103662481e-12
1600,7.40895937364566e-15,-5.01549665480283e-12
1610,7.398443242438067e-15,-3.1130902742871813e-12
1620,7.40441818771568e-15,-6.230957178858187e-12
1630,7.516494489476112e-15,-5.919124336228993e-12
1640,7.538694497435415e-15,-1.5892330628364776e-12
1650,7.362016565101891e-15,-4.503437241422473e-12
1660,7.332291867330131e-15,-4.553201196775431e-12
1670,7.322741230631388e-15,-5.006994623870674e-12
1680,7.434645109942872e-15,-3.1519159409981834e-12
1690,7.482157057971248e-15,-3.728601574766161e-12
1700,7.349562691836802e-15,-2.3017635570310967e-12
1710,7.439083585880592e-15,-4.976020487246772e-12
1720,7.383750491365467e-15,-4.547726630163519e-12
1730,7.37534280039435e-15,-4.409433588913185e-12
1740,7.422981020539394e-15,-5.442718625369397e-12
1750,7.686357529416974e-15,-4.311734862112216e-12
1760,7.37107791063511e-15,-5.957088950205022e-12
1770,7.348933639304625e-15,-2.694416586724213e-12
1780,7.34226036062432e-15,-6.290438379185096e-12
1790,7.414470294641314e-15,-5.333463481638525e-13
1800,7.316882764236048e-15,-5.062106367176429e-12
1810,7.391373746008803e-15,-3.739697364067721e-12
1820,7.502231194526617e-15,-5.820099756310336e-12
1830,7.560353218123094e-15,-5.7960003946610405e-12
1840,7.513927484419908e-15,-6.6671008954204275e-12
1850,7.352937365172485e-15,-2.4144070697846205e-12
1860,7.49908767837483e-15,-4.5123287665524165e-12
1870,7.448012674860527e-15,-7.357697457324241e-12
1880,7.281543219809864e-15,-4.478315011318429e-12
1890,7.485602211546456e-15,-2.779672515724295e-12
1900,7.469482743327072e-15,-3.701051617125768e-12
1910,7.30201474115158e-15,-4.507855763485172e-12
1920,7.322124560500852e-15,-3.5372526291896605e-12
1930,7.431840170132964e-15,-4.834754693274312e-12
1940,7.275887306092477e-15,-7.317613603882543e-12
1950,7.4274774088665e-15,-7.106398006013264e-12
1960,7.4133451960249e-15,-7.407904894094595e-12
1970,7.47439748548215e-15,-3.3007965223024366e-12
1980,7.525036351218032e-15,-4.885603331349601e-12
1990,7.237080760419106e-15,-4.316922785071698e-12
2000,7.340144310111221e-15,-5.8345203747005334e-12
2010,7.505677686512189e-15,-4.581045555744409e-12
2020,7.43943285570302e-15,-9.169780505277706e-12
2030,7.41026845443125e-15,-6.097949401920343e-12
2040,7.375192753395311e-15,-4.726389344550064e-12
2050,6.976186592660024e-15,-7.354124164736665e-12
2060,7.374433591675868e-15,-4.8772898320119265e-12
2070,7.326160838482018e-15,-2.4988508125853067e-12
2080,7.413793812264618e-15,-1.1149639639527919e-12
2090,7.406088040661593e-15,-3.613553191744735e-12
2100,7.42242799238563e-15,-4.50591160603869e-12
2110,7.465065701647964e-15,-3.030736711982291e-12
2120,7.242156688149548e-15,-3.487227395448897e-12
2130,7.33184657147419e-15,-4.854665243172696e-12
2140,7.268153073512157e-15,-1.0013383360963917e-12
2150,7.371466535291067e-15,-3.755386219495546e-12
2160,7.380374280371995e-15,-1.8281829309349208e-12
2170,7.4015765548736e-15,-5.185175614473206e-12
2180,7.39164534254341e-15,-7.001459481752904e-12
2190,7.416695038226306e-15,-3.650327870151968e-12
2200,7.390859112233288e-15,-3.662552085501061e-12
2210,7.332625595639006e-15,-5.189212078624223e-12
2220,7.486551979672904e-15,-5.699513651035626e-12
2230,7.265357554555758e-15,-1.3963484469854446e-12
2240,7.236447223998245e-15,-3.94035106371352e-12
2250,7.348639559392232e-15,-5.298824169006662e-12
2260,7.216893930860859e-15,-3.87370024366431e-12
2270,7.409584600249754e-15,-3.6918739141041645e-12
2280,7.450651430884234e-15,-2.6887791773379167e-12
2290,7.41864415298194e-15,-5.461463737739228e-12
2300,7.381456852144437e-15,-3.719087169312788e-12
2310,7.285760347256796e-15,-7.1039814538356125e-12
2320,7.357294590429133e-15,-2.727924881460904e-12
2330,7.444478588814341e-15,-5.016978163517115e-12
2340,7.305441311402235e-15,-1.1714841895891886e-12
2350,7.249050442395302e-15,-4.7828724374388294e-12
2360,7.392510785531458e-15,-5.572679374508726e-12
2370,7.386765356604728e-15,-4.8220317693251525e-12
2380,7.253831410047632e-15,-3.7076919803234435e-12
2390,7.411221241651556e-15,-1.5638111055291507e-12
2400,7.289820840286365e-15,-5.910611413533428e-12
2410,7.347469020415095e-15,-3.985686018740777e-12
2420,7.450774312176879e-15,-8.25283936761334e-12
2430,7.40665115298495e-15,-4.111571632266572e-12
2440,7.323044461006063e-15,-3.0319797131343033e-12
2450,7.41741524013923e-15,-4.05427203172007e-12
2460,7.22987903768841e-15,-6.7588038687581755e-12
2470,7.39368765110138e-15,-3.035258088889581e-12
2480,7.386562160536657e-15,-4.970453991980284e-12
2490,7.31371185888465e-15,-6.909611646790933e-12
2500,7.351855356993792e-15,-2.2883117350272245e-12
2510,7.288645183039581e-15,-5.222686523829247e-12
2520,7.293017731317821e-15,-4.150850697768856e-12
2530,7.252665963043722e-15,-5.036092849510229e-12
2540,7.39369978380244e-15,-4.177743082600485e-12
2550,7.450801936878779e-15,-1.2599393518358359e-12
2560,7.229852764357774e-15,-3.867690560481936e-12
2570,7.257068206874334e-15,-4.285981708206001e-12
2580,7.206132936997938e-15,-5.4167915556460676e-12
2590,7.428466315389461e-15,-4.940065737598921e-12
2600,7.316318301878626e-15,-3.9447588033790275e-12
2610,7.424939818853763e-15,-5.8345017139559425e-12
2620,7.311158222605935e-15,-2.693718487291809e-12
2630,7.247211034443582e-15,-4.799650866768887e-12
2640,7.342702156348058e-15,-6.29316233582987e-12
2650,7.253155673728593e-15,-3.4345489074715977e-12
2660,7.409449370498285e-15,-5.6365496257302345e-12
2670,7.369973126198474e-15,-1.8443642028641872e-12
2680,7.422602974962558e-15,-4.6443589606777e-12
2690,7.315809639843472e-15,-6.7830141120465105e-12
2700,7.31138309766775e-15,-5.011254617508422e-12
2710,7.373002058558194e-15,-5.399135030489691e-12
2720,7.355283298042639e-15,-4.823018480641573e-12
2730,7.385087888680243e-15,-5.82056063012783e-12
2740,7.250309349546176e-15,-2.457524695016407e-12
2750,7.506711094187537e-15,-3.982862945785476e-12
2760,7.270741831974758e-15,-2.7697237660127297e-12
2770,7.340482325374804e-15,-5.8914374175661645e-12
2780,7.369945053298093e-15,-6.6958416217404475e-12
2790,7.245484812533557e-15,-5.99598147057636e-12
2800,7.402936611867273e-15,-6.249924578743582e-12
2810,7.357398710959365e-15,-6.469164998751422e-12
2820,7.437342625045791e-15,-5.384770032686882e-12
2830,7.396131150073556e-15,-4.941752258115648e-12
2840,7.284678158216146e-15,-6.175559090741309e-12
2850,7.345360458462332e-15,-4.1102297641945076e-12
2860,7.39499564213481e-15,-4.093424785239559e-12
2870,7.295315817692879e-15,-4.370862472623253e-12
2880,7.33794023180743e-15,-3.592361419893449e-12
2890,7.326013546917888e-15,-2.8587718266815546e-12
2900,7.333944386079341e-15,-5.7507016445486236e-12
2910,7.467012280847885e-15,-5.338890375688926e-12
2920,7.357682639358931e-15,-2.7167225888708257e-12
2930,7.294252496805583e-15,-6.435039881820144e-12
2940,7.370350772353143e-15,-2.598589972042853e-12
2950,7.235065611590471e-15,-3.1877351028660297e-12
2960,7.37128591974234e-15,-4.057325878165489e-12
2970,7.382922822437728e-15,-4.2945899731230066e-12
2980,7.339482009829722e-15,-4.498842725971822e-12
2990,7.230101220327469e-15,-4.7761573280730206e-12
3000,7.319399906565959e-15,-3.729007654433614e-12
3010,7.406169115834244e-15,-5.3582790822866275e-12
3020,7.287539626596211e-15,-5.930095983858657e-12
3030,7.414272779727181e-15,-2.3783454821965235e-12
3040,7.233281736013112e-15,-5.996355582704818e-12
3050,7.282499856662152e-15,-4.3948555217731114e-12
3060,7.29158434740425e-15,-5.212331525663722e-12
3070,7.310781537997255e-15,-1.6816242262294752e-12
3080,7.307512244637039e-15,-5.284585674240717e-12
3090,7.4055711188709e-15,-4.164085959219642e-12
3100,7.303887110933161e-15,-5.073040682197336e-12
3110,7.340152415396464e-15,-3.496015688975083e-12
3120,7.339843335219381e-15,-5.876197731193856e-12
3130,7.220125741386826e-15,-4.920150506812553e-12
3140,7.337766362269843e-15,-2.6287534404814122e-12
3150,7.314316739246063e-15,-6.488711608318347e-12
3160,7.49858726424394e-15,-3.900334133227714e-12
3170,7.271475703840843e-15,-3.936630267337745e-12
3180,7.376604834475291e-15,-3.8074869540372176e-12
3190,7.305878732735287e-15,-3.9855052431107186e-12
3200,7.318646301230042e-15,-5.280974846750816e-12
3210,7.390766357344861e-15,-4.326790582795762e-12
3220,7.344112130629894e-15,-6.071196664509207e-12
3230,7.310954560425345e-15,-8.070408407283116e-12
3240,7.345328777834138e-15,-2.5969820607741483e-12
3250,7.415564993942252e-15,-4.9949081710601984e-12
3260,7.327532925531454e-15,-5.626661076381548e-12
3270,7.258705021655781e-15,-5.8353447374475184e-12
3280,7.292371660483985e-15,-3.760810477976315e-12
3290,7.317636457358007e-15,-6.656258214415877e-12
3300,7.344813692079426e-15,-5.29675194949438e-12
3310,7.391290574114214e-15,-3.2097811272695634e-12
3320,7.353270672803627e-15,-7.589475310704416e-12
3330,7.206294650656158e-15,-9.44017371218373e-12
3340,7.30237396851838e-15,-1.7017618729978452e-12
3350,7.321213004431131e-15,-3.34730471527653e-12
3360,7.23613999358788e-15,-3.847525359251372e-12
3370,7.316830593902965e-15,-5.092815820760442e-12
3380,7.303855430135584e-15,-4.437909650551342e-12
3390,7.35977624799222e-15,-5.379836063257626e-12
3400,7.235231057942335e-15,-4.338352346040758e-12
3410,7.22475349492854e-15,-5.683325273019751e-12
3420,7.328659183673568e-15,-1.4801608313609503e-12
3430,7.18483314251537e-15,-6.61221127457148e-12
3440,7.486204476582257e-15,-3.615790468724689e-12
3450,7.478954413321577e-15,-2.8581146053352407e-12
3460,7.376653970327687e-15,-6.204508263255991e-12
3470,7.321037565285329e-15,-3.845631490521242e-12
3480,7.27681003224417e-15,-6.174352333111329e-12
3490,7.313593950660295e-15,-1.5476645132084124e-12
3500,7.329781529987423e-15,-4.86850484265609e-12
3510,7.277897195515095e-15,-2.487052472527392e-12
3520,7.280448559612546e-15,-3.737090659059817e-12
3530,7.388220302210198e-15,-3.768941566853994e-12
3540,7.167983486366797e-15,-5.645755640385911e-12
3550,7.278607081396383e-15,-3.8403851102822855e-12
3560,7.285070843025366e-15,-2.3866813396043508e-12
3570,7.280947515705212e-15,-3.874693369166627e-12
3580,7.376804206614107e-15,-4.039438068357015e-12
3590,7.151299638102803e-15,-6.940744343047465e-12
3600,7.333823228892763e-15,-2.3478882815206496e-12
3610,7.2019840665686e-15,-6.152680965499146e-12
3620,7.225023416747597e-15,-3.945218727738414e-12
3630,7.330738499990035e-15,-1.6611242109906281e-12
3640,7.315535981461193e-15,-5.39081652758541e-12
3650,7.339997830162004e-15,-7.001670058259542e-12
3660,7.254885737889522e-15,-5.86897518165361e-12
3670,7.378204937857628e-15,-2.367979812284924e-12
3680,7.32848648830718e-15,-7.799260278700045e-12
3690,7.267661950335633e-15,-5.049887373254702e-12
3700,7.308379330361417e-15,-2.7130113943727997e-12
3710,7.348759625902941e-15,-6.0764828843669606e-12
3720,7.184378344397032e-15,-3.5823985454385025e-12
3730,7.446919577951372e-15,-7.016313701355279e-13
3740,7.40705141798969e-15,-6.449701782938168e-12
3750,7.255265711443995e-15,-5.019819101338158e-12
3760,7.471637027861351e-15,-4.759781462447719e-12
3770,7.351815106502713e-15,-5.910771089435208e-12
3780,7.269831086169715e-15,-2.7774229693580387e-12
3790,7.38345557451879e-15,-5.595404032477205e-12
3800,7.136227482600342e-15,-5.393896012616879e-12
3810,7.210316973689324e-15,-6.098979600535659e-12
3820,7.357105051763106e-15,-1.8306736990556663e-12
3830,7.302263687165193e-15,-2.977787211736143e-12
3840,7.235274600234298e-15,-1.7629659814355062e-12
3850,7.451921122789081e-15,-4.828745877882267e-12
3860,7.166716167795494e-15,-3.888396695068881e-12
3870,7.433281125700073e-15,-2.786589692617694e-12
3880,7.21409982930423e-15,-3.4821865410356556e-12
3890,7.293456985925884e-15,-5.14798232692489e-12
3900,7.226993051319608e-15,-4.854362165655945e-12
3910,7.10564724717497e-15,-5.030227892944786e-12
3920,7.26417312025261e-15,-7.088230115677768e-12
3930,7.438202892287999e-15,-3.1423476695043515e-12
3940,7.251556079805427e-15,-2.9732383276713206e-12
3950,7.180998619742136e-15,-4.404562392434301e-12
3960,7.32323952232752e-15,-4.544934042071966e-12
3970,7.276752631885472e-15,-6.341134512404415e-12
3980,7.264748608855912e-15,-3.765934245212633e-12
3990,7.33919167040376e-15,-5.048842023440168e-12
4000,7.263085532074846e-15,-5.0374476881443325e-12
4010,7.360404321736874e-15,-6.2135619256627194e-12
4020,7.314443918150504e-15,-4.058322637250991e-12
4030,7.392412500283744e-15,-5.163413344059627e-12
4040,7.233461819044433e-15,-3.885693393050264e-12
4050,7.383622608079944e-15,-3.652218884112858e-12
4060,7.236042777150122e-15,-6.968628064357174e-12
4070,7.209391535580157e-15,-5.515929059147944e-12
4080,7.326010203169567e-15,-5.8167176996698186e-12
4090,7.432642628066384e-15,-5.737562767484894e-13
4100,7.499275246970833e-15,-8.102214726749013e-12
4110,7.270049981127592e-15,-5.144582284952657e-12
4120,7.30625128909829e-15,-2.2602162414237632e-12
4130,7.287542334005737e-15,-2.0255908523763014e-12
4140,7.286939681960046e-15,-5.727141999105427e-12
4150,7.208937776956261e-15,-3.3486500864370514e-12
4160,7.318918946554607e-15,-5.760763412892941e-12
4170,7.276545955761264e-15,-5.4673898061178315e-12
4180,7.179294806413038e-15,-4.745986670648622e-12
4190,7.455407972605403e-15,-3.137094179305772e-12
4200,7.32853206407607e-15,-2.9288810554846184e-12
4210,7.270781967442002e-15,-3.610077503112934e-12
4220,7.404667241870655e-15,-9.228674400216203e-13
4230,7.225354170221578e-15,-4.979560271559935e-12
4240,7.279438565710564e-15,-4.275966221447683e-12
4250,7.237415098149264e-15,-7.2224534971011066e-12
4260,7.164628631655236e-15,-2.5819549068730065e-12
4270,7.122662351788516e-15,-4.2588955211098e-12
4280,7.279006821636486e-15,-6.240937816199463e-12
4290,7.35846398356979e-15,-2.595353111851582e-12
4300,7.39769328324087e-15,-6.5043051860541184e-12
4310,7.601390735385589e-15,-5.178019056852885e-12
4320,7.25282890568088e-15,-4.621346451659324e-12
4330,7.279140845869938e-15,-5.4555482016350165e-12
