itr,err,ans
10,0.00045760701802554775,4.02128855143806
20,0.000484876136435083,4.015568105936459
30,0.0004231462083593393,4.0116676631320916
40,0.00034679056784685177,4.009040008543077
50,0.0002813884338641894,4.007238256686311
60,0.00023119305987192242,4.005974909472958
70,0.00019431414331719788,4.0050666512237925
80,0.00016767897309320442,4.004396451859802
90,0.00014848320663599446,4.003888975492068
100,0.00013452495390783262,4.003495069226942
110,0.00012419165309376687,4.003182131480066
120,0.00011634975677955164,4.002928148280593
130,0.00011022258169521728,4.002717979291152
140,0.00010528569307593058,4.00254101945288
150,0.00010118711462475976,4.0023897063522815
160,9.769045887141196e-05,4.002258552936113
170,9.463604170299518e-05,4.002143510846202
180,9.191493358446772e-05,4.002041544830902
190,8.945186150362147e-05,4.001950343921925
200,8.719399620435604e-05,4.001868122542546
210,8.510359537548612e-05,4.001793481607838
220,8.315315808468999e-05,4.001725310204536
230,8.13222140540464e-05,4.001662715087996
240,7.95951805461086e-05,4.001604969492643
250,7.79599200835584e-05,4.0015514755167345
260,7.640676118961503e-05,4.001501736160187
270,7.49278271920426e-05,4.001455334304652
280,7.351657149960338e-05,4.001411916740717
290,7.216745229899597e-05,4.001371181903022
300,7.0875702111217e-05,4.00133287035712
310,6.963716239121762e-05,4.001296757348588
320,6.844816308788877e-05,4.00126264691241
330,6.73054335498573e-05,4.001230367173783
340,6.620603548947216e-05,4.001199766566848
350,6.514731162957163e-05,4.001170710766822
360,6.412684562841796e-05,4.001143080181228
370,6.314243021972127e-05,4.001116767882889
380,6.219204142237779e-05,4.00109167789474
390,6.12738173049392e-05,4.001067723756925
400,6.038604022586999e-05,4.00104482732208
410,5.952712177295659e-05,4.001022917736353
420,5.869558983657227e-05,4.001001930572618
430,5.789007739961989e-05,4.000981807089212
440,5.7109312732062473e-05,4.00096249359283
450,5.635211075235093e-05,4.000943940888367
460,5.5617365372087796e-05,4.000926103801695
470,5.4904042679123685e-05,4.000908940764034
480,5.4211174843047755e-05,4.000892413448493
490,5.3537854648596616e-05,4.000876486451102
500,5.288323057866584e-05,4.000861127009895
510,5.22465023811282e-05,4.000846304756692
520,5.1626917063769965e-05,4.000831991497123
530,5.102376526908731e-05,4.000818161015089
540,5.0436377987652134e-05,4.0008047888984635
550,4.986412357341927e-05,4.000791852383347
560,4.9306405029486694e-05,4.0007793302145345
570,4.876265753591988e-05,4.000767202520217
580,4.8232346194987365e-05,4.000755450699222
590,4.771496397174088e-05,4.0007440573193165
600,4.721002981030843e-05,4.000733006025297
610,4.671708690852587e-05,4.000722281455776
620,4.623570113534598e-05,4.000711869167689
630,4.57654595771341e-05,4.000701755567694
640,4.530596920050994e-05,4.000691927849727
650,4.4856855620613544e-05,4.000682373938046
660,4.4417761964937847e-05,4.000673082435252
670,4.3988347823781956e-05,4.000664042574725
680,4.3568288279492136e-05,4.000655244177053
690,4.3157273007259764e-05,4.000646677610091
700,4.275500544116169e-05,4.000638333752266
710,4.236120199964221e-05,4.000630203958818
720,4.19755913653498e-05,4.0006222800307345
730,4.1597913814602e-05,4.000614554186102
740,4.122792059238225e-05,4.000607019033653
750,4.0865373329034125e-05,4.000599667548335
760,4.0510043495291966e-05,4.000592493048707
770,4.016171189253585e-05,4.000585489175992
780,3.982016817552902e-05,4.000578649874678
790,3.9485210405078694e-05,4.000571969374499
800,3.91566446283625e-05,4.000565442173701
810,3.883428448483281e-05,4.000559063023496
820,3.8517950835733625e-05,4.00055282691356
830,3.820747141569509e-05,4.000546729058565
840,3.790268050460701e-05,4.000540764885588
850,3.7603418618455796e-05,4.000534930022388
860,3.7309532217828766e-05,4.0005292202864355
870,3.702087343277209e-05,4.0005236316746675
880,3.673729980305139e-05,4.000518160353917
890,3.645867403261297e-05,4.000512802651924
900,3.618486375747937e-05,4.000507555048943
910,3.5915741326051955e-05,4.000502414169854
920,3.565118359123543e-05,4.000497376776779
930,3.5391071713425766e-05,4.000492439762125
940,3.513529097376601e-05,4.000487600142077
950,3.488373059716251e-05,4.000482855050454
960,3.463628358423394e-05,4.000478201732945
970,3.439284655184261e-05,4.000473637541678
980,3.4153319581671886e-05,4.000469159930102
990,3.391760607627255e-05,4.000464766448162
1000,3.36856126222584e-05,4.000460454737761
1010,3.345724886018372e-05,4.000456222528452
1020,3.323242736078007e-05,4.000452067633402
1030,3.301106350705412e-05,4.000447987945548
1040,3.279307538211506e-05,4.000443981433989
1050,3.2578383662302e-05,4.000440046140556
1060,3.236691151523571e-05,4.000436180176573
1070,3.215858450277126e-05,4.000432381719795
1080,3.195333048830885e-05,4.0004286490114955
1090,3.175107954847495e-05,4.000424980353716
1100,3.155176388874311e-05,4.000421374106654
1110,3.135531776290402e-05,4.000417828686189
1120,3.116167739617947e-05,4.000414342561525
1130,3.097078091172147e-05,4.000410914252963
1140,3.078256826040463e-05,4.000407542329778
1150,3.059698115365812e-05,4.000404225408206
1160,3.0413962999288132e-05,4.000400962149524
1170,3.0233458840043597e-05,4.000397751258223
1180,3.005541529481324e-05,4.000394591480284
1190,2.9879780502410166e-05,4.000391481601515
1200,2.9706504067635315e-05,4.000388420445985
1210,2.9535537009727702e-05,4.000385406874516
1220,2.936683171286738e-05,4.000382439783267
1230,2.9200341878853594e-05,4.000379518102357
1240,2.9036022481618168e-05,4.000376640794579
1250,2.887382972370987e-05,4.000373806854148
1260,2.8713720994477552e-05,4.000371015305519
1270,2.855565483000444e-05,4.000368265202264
1280,2.8399590874641516e-05,4.000365555625983
1290,2.8245489844019057e-05,4.0003628856852735
1300,2.8093313489657017e-05,4.000360254514744
1310,2.794302456484069e-05,4.00035766127407
1320,2.7794586791907557e-05,4.000355105147094
1330,2.7647964830803686e-05,4.000352585340952
1340,2.7503124248851653e-05,4.000350101085256
1350,2.736003149168592e-05,4.0003476516313015
1360,2.7218653855266997e-05,4.000345236251295
1370,2.70789594590207e-05,4.000342854237647
1380,2.6940917219984876e-05,4.000340504902258
1390,2.6804496827842064e-05,4.000338187575862
1400,2.6669668721032824e-05,4.000335901607376
1410,2.6536404063597087e-05,4.000333646363294
1420,2.6404674722999318e-05,4.000331421227088
1430,2.627445324868974e-05,4.000329225598653
1440,2.6145712851491856e-05,4.000327058893749
1450,2.601842738371119e-05,4.000324920543493
1460,2.5892571319960778e-05,4.000322809993847
1470,2.5768119738710386e-05,4.000320726705136
1480,2.5645048304445306e-05,4.000318670151598
1490,2.5523333250493376e-05,4.00031663982092
1500,2.5402951362420885e-05,4.000314635213817
1510,2.528387996205052e-05,4.0003126558436275
1520,2.5166096892034695e-05,4.000310701235902
1530,2.504958050091829e-05,4.000308770928035
1540,2.4934309628762407e-05,4.000306864468887
1550,2.4820263593232436e-05,4.00030498141844
1560,2.4707422176204276e-05,4.000303121347447
1570,2.4595765610737772e-05,4.000301283837112
1580,2.44852745685966e-05,4.000299468478767
1590,2.437593014812177e-05,4.000297674873572
1600,2.4267713862494846e-05,4.000295902632217
1610,2.4160607628456196e-05,4.0002941513746455
1620,2.405459375533856e-05,4.00029242072977
1630,2.3949654934472514e-05,4.000290710335216
1640,2.3845774228960653e-05,4.00028901983707
1650,2.3742935063778167e-05,4.000287348889624
1660,2.36411212161361e-05,4.000285697155149
1670,2.354031680626865e-05,4.000284064303656
1680,2.3440506288388684e-05,4.000282450012686
1690,2.3341674442021365e-05,4.000280853967086
1700,2.3243806363580242e-05,4.00027927585881
1710,2.314688745818838e-05,4.000277715386716
1720,2.30509034318181e-05,4.000276172256376
1730,2.295584028358248e-05,4.000274646179883
1740,2.2861684298334946e-05,4.000273136875683
1750,2.27684220395037e-05,4.000271644068392
1760,2.2676040342098166e-05,4.000270167488625
1770,2.258452630593191e-05,4.000268706872845
1780,2.24938672891299e-05,4.000267261963191
1790,2.240405090169452e-05,4.000265832507337
1800,2.2315064999411746e-05,4.000264418258339
1810,2.2226897677834766e-05,4.0002630189744925
1820,2.2139537266487168e-05,4.000261634419194
1830,2.2052972323214827e-05,4.000260264360808
1840,2.1967191628769972e-05,4.000258908572537
1850,2.188218418145109e-05,4.0002575668322935
1860,2.1797939191984195e-05,4.000256238922583
1870,2.1714446078503467e-05,4.000254924630381
1880,2.1631694461706284e-05,4.000253623747021
1890,2.154967416011015e-05,4.0002523360680815
1900,2.1468375185500586e-05,4.000251061393283
1910,2.138778773844702e-05,4.000249799526375
1920,2.1307902203991722e-05,4.000248550275048
1930,2.1228709147425387e-05,4.00024731345082
1940,2.1150199310207775e-05,4.000246088868955
1950,2.1072363605979402e-05,4.0002448763483605
1960,2.0995193116703023e-05,4.000243675711503
1970,2.0918679088893044e-05,4.000242486784323
1980,2.0842812929948873e-05,4.000241309396142
1990,2.0767586204613347e-05,4.00024014337959
2000,2.0692990631494466e-05,4.000238988570519
2010,2.0619018079674155e-05,4.00023784480793
2020,2.0545660565467272e-05,4.000236711933895
2030,2.0472910249188673e-05,4.000235589793487
2040,2.0400759432051653e-05,4.000234478234704
2050,2.032920055315338e-05,4.000233377108407
2060,2.0258226186510146e-05,4.000232286268249
2070,2.0187829038159315e-05,4.0002312055706035
2080,2.0118001943400616e-05,4.000230134874519
2090,2.004873786404305e-05,4.000229074041638
2100,1.9980029885725383e-05,4.000228022936149
2110,1.9911871215361175e-05,4.000226981424722
2120,1.9844255178584387e-05,4.000225949376461
2130,1.9777175217311343e-05,4.000224926662836
2140,1.9710624887281283e-05,4.0002239131576385
2150,1.964459785575848e-05,4.000222908736927
2160,1.9579087899243887e-05,4.000221913278979
2170,1.9514088901215707e-05,4.000220926664235
2180,1.9449594849992017e-05,4.000219948775255
2190,1.938559983653497e-05,4.000218979496674
2200,1.9322098052467325e-05,4.0002180187151515
2210,1.9259083787971573e-05,4.00021706631933
2220,1.9196551429837624e-05,4.000216122199787
2230,1.9134495459560376e-05,4.000215186249005
2240,1.9072910451409664e-05,4.000214258361318
2250,1.901179107060582e-05,4.000213338432872
2260,1.895113207151625e-05,4.000212426361598
2270,1.8890928295916926e-05,4.000211522047162
2280,1.8831174671248365e-05,4.000210625390935
2290,1.8771866208927306e-05,4.00020973629595
2300,1.8712998002741147e-05,4.000208854666877
2310,1.8654565227223066e-05,4.000207980409978
2320,1.8596563136067643e-05,4.000207113433081
2330,1.8538987060621146e-05,4.000206253645549
