CPU time,iterations,result,file1,file2,method
2.18,47811,8.97E-01,0,1,0
1.87,52569,7.23E-01,0,2,0
2.1,55757,9.96E-01,0,3,0
2.11,50632,6.81E-01,0,4,0
1.96,48586,8.63E-01,0,5,0
1.93,58019,6.47E-01,0,6,0
1.86,54848,6.79E-01,0,7,0
1.85,44884,5.61E-01,0,8,0
1.68,41986,6.93E-01,0,9,0
2.27,66340,1.04E+00,1,2,0
2.12,66690,9.96E-01,1,3,0
2.07,63904,5.95E-01,1,4,0
2.13,64533,9.90E-01,1,5,0
2.15,66871,1.01E+00,1,6,0
2.04,66170,8.53E-01,1,7,0
2.19,64095,6.88E-01,1,8,0
1.95,57478,6.64E-01,1,9,0
2.02,55984,9.52E-01,2,3,0
1.85,49601,9.13E-01,2,4,0
2.04,61689,6.83E-01,2,5,0
1.94,57694,6.70E-01,2,6,0
1.88,46658,8.10E-01,2,7,0
1.88,48564,8.73E-01,2,8,0
1.95,50505,7.85E-01,2,9,0
1.84,52256,1.14E+00,3,4,0
1.98,61364,8.74E-01,3,5,0
2.05,64430,1.12E+00,3,6,0
1.86,54136,1.17E+00,3,7,0
1.89,55445,1.10E+00,3,8,0
1.9,58748,1.01E+00,3,9,0
2.3,74238,9.36E-01,4,5,0
2.23,72545,7.82E-01,4,6,0
2.09,66787,6.36E-01,4,7,0
1.94,58825,5.28E-01,4,8,0
2.01,52488,5.02E-01,4,9,0
1.89,51651,9.07E-01,5,6,0
1.98,62686,9.86E-01,5,7,0
1.83,53761,8.95E-01,5,8,0
1.86,50265,7.61E-01,5,9,0
1.71,46866,5.83E-01,6,7,0
1.91,54230,6.55E-01,6,8,0
1.91,49874,8.74E-01,6,9,0
1.88,50207,6.27E-01,7,8,0
1.94,53142,7.94E-01,7,9,0
1.76,48542,6.17E-01,8,9,0
1.56,13169,8.97E-01,0,1,1
1.41,8775,7.23E-01,0,2,1
1.61,14013,9.96E-01,0,3,1
1.42,8354,6.81E-01,0,4,1
1.38,9919,8.63E-01,0,5,1
1.43,7668,6.47E-01,0,6,1
1.82,7872,6.79E-01,0,7,1
1.41,8113,5.61E-01,0,8,1
1.4,9204,6.93E-01,0,9,1
1.63,13437,1.04E+00,1,2,1
1.54,12398,9.96E-01,1,3,1
1.42,7611,5.95E-01,1,4,1
1.71,12749,9.90E-01,1,5,1
1.53,12685,1.01E+00,1,6,1
1.43,10348,8.53E-01,1,7,1
1.41,9601,6.88E-01,1,8,1
1.42,8285,6.64E-01,1,9,1
1.47,12439,9.52E-01,2,3,1
1.4,11922,9.13E-01,2,4,1
1.43,9291,6.83E-01,2,5,1
1.4,8305,6.70E-01,2,6,1
1.37,9180,8.10E-01,2,7,1
1.44,10843,8.73E-01,2,8,1
1.53,11123,7.85E-01,2,9,1
1.78,17127,1.14E+00,3,4,1
1.39,9531,8.74E-01,3,5,1
1.6,14602,1.12E+00,3,6,1
1.45,13764,1.17E+00,3,7,1
1.6,14321,1.10E+00,3,8,1
1.93,17219,1.01E+00,3,9,1
1.54,12411,9.36E-01,4,5,1
1.42,10180,7.82E-01,4,6,1
1.4,8715,6.36E-01,4,7,1
1.48,6628,5.28E-01,4,8,1
1.34,6872,5.02E-01,4,9,1
1.69,13415,9.07E-01,5,6,1
1.76,14171,9.86E-01,5,7,1
1.67,14195,8.95E-01,5,8,1
1.46,10639,7.61E-01,5,9,1
1.55,7443,5.83E-01,6,7,1
1.5,8861,6.55E-01,6,8,1
1.36,10959,8.74E-01,6,9,1
1.37,7608,6.27E-01,7,8,1
1.59,9842,7.94E-01,7,9,1
1.36,7400,6.17E-01,8,9,1
7.69,834,8.97E-01,0,1,2
6.58,835,7.23E-01,0,2,2
7.23,662,9.96E-01,0,3,2
7.58,899,6.81E-01,0,4,2
7.62,705,8.63E-01,0,5,2
6.8,830,6.47E-01,0,6,2
7.28,769,6.79E-01,0,7,2
7.17,677,5.61E-01,0,8,2
6.92,562,6.93E-01,0,9,2
7.81,733,1.04E+00,1,2,2
7.82,635,9.96E-01,1,3,2
7.17,917,5.95E-01,1,4,2
7.58,919,9.90E-01,1,5,2
7.5,713,1.01E+00,1,6,2
6.48,599,8.53E-01,1,7,2
7.58,649,6.88E-01,1,8,2
7.18,940,6.64E-01,1,9,2
7.96,674,9.52E-01,2,3,2
6.85,748,9.13E-01,2,4,2
6.56,586,6.83E-01,2,5,2
7.6,653,6.70E-01,2,6,2
7.28,629,8.10E-01,2,7,2
7.72,967,8.73E-01,2,8,2
7.32,628,7.85E-01,2,9,2
8.06,834,1.14E+00,3,4,2
7.69,1163,8.74E-01,3,5,2
7.97,674,1.12E+00,3,6,2
7.35,724,1.17E+00,3,7,2
7.5,1066,1.10E+00,3,8,2
7.85,883,1.01E+00,3,9,2
7.1,847,9.36E-01,4,5,2
7.16,701,7.82E-01,4,6,2
7.79,691,6.36E-01,4,7,2
6.2,658,5.28E-01,4,8,2
6.37,532,5.02E-01,4,9,2
6.8,926,9.07E-01,5,6,2
6.99,578,9.86E-01,5,7,2
7.5,939,8.95E-01,5,8,2
6.89,651,7.61E-01,5,9,2
6.77,667,5.83E-01,6,7,2
7.97,824,6.55E-01,6,8,2
7.64,969,8.74E-01,6,9,2
7.12,621,6.27E-01,7,8,2
7.04,902,7.94E-01,7,9,2
7.15,644,6.17E-01,8,9,2
